IDX,LON,LAT
1,-150.28944699999997,67.01802500000008
2,-150.21003599999997,67.24480500000004
3,-68.00426849999997,46.85934000000003
4,-67.99381699999998,46.820790000000045
5,-67.99520799999993,46.83078700000004
6,-67.99638599999996,46.81418333333338
7,-67.99649599999998,46.81249800000006
8,-67.99607599999996,46.81122800000003
9,-155.11097699999996,19.87495400000006
10,-155.24260099999998,19.987270000000024
11,-155.81304599999996,20.018898000000036
12,-155.86043699999996,19.92201700000004
13,-68.00469299999997,46.848700000000065
14,-68.00554899999997,46.852644000000055
15,-68.00009249999997,46.87136650000005
16,-68.00729799999993,46.876491000000044
17,-68.00998799999996,46.87850340000006
18,-68.01100499999995,46.879462000000046
19,-67.99927766666663,46.87046333333338
20,-68.00875799999994,46.87752400000005
21,-67.99909949999994,47.04710500000007
22,-67.95369349999996,47.13510900000006
23,-66.59983399999999,18.43519200000003
24,-66.91394699999995,18.015991000000042
25,-67.94117699999998,47.146246000000076
26,-66.06078199999996,18.21120600000006
27,-66.05933699999997,18.21157100000005
28,-66.06157399999995,18.448315000000036
29,-66.06007599999998,18.448331000000053
30,-66.06064199999997,18.437982000000034
31,-66.06026499999996,18.436599000000058
32,-66.06062799999995,18.435162000000048
33,-66.06045099999994,18.439190000000053
34,-66.05953399999999,18.438023000000044
35,-66.06143299999997,18.370951000000048
36,-66.05994599999997,18.37066600000003
37,-66.05904999999996,17.974792000000036
38,-66.0607753333333,17.975119000000063
39,-66.06049099999996,18.241280000000074
40,-66.05974199999997,18.23998400000005
41,-66.06131499999998,18.30022100000004
42,-66.06018299999994,18.299217000000056
43,-66.06139766666661,18.3574106666667
44,-66.0596553333333,18.35728000000006
45,-66.06081699999999,18.40754400000003
46,-66.05930299999994,18.407588000000032
47,-66.06140899999997,18.422611000000074
48,-66.05994399999997,18.422965000000033
49,-66.06013599999994,18.176788000000045
50,-66.06031499999995,18.17530800000003
51,-66.06115699999998,18.384944000000075
52,-66.05999699999995,18.384096000000056
53,-66.06046599999996,18.243464000000074
54,-66.05899699999998,18.243588000000045
55,-66.06058699999994,18.333533000000045
56,-66.05947199999997,18.332543000000044
57,-66.05942399999996,18.392705666666718
58,-66.06077999999997,18.391972000000067
59,-66.94515599999994,18.03682200000003
60,-66.06058744444441,18.433773000000045
61,-66.05996499999995,18.431947000000065
62,-66.07021266666663,18.350560666666713
63,-66.07010899999995,18.349076000000025
64,-66.60117999999994,18.43588200000005
65,-66.58393399999994,18.005723000000046
66,-66.60809399999994,18.433691000000067
67,-66.58500799999996,18.005742500000053
68,-66.42384599999997,18.351211000000035
69,-66.42298799999998,18.35001600000004
70,-66.58400799999998,18.000585000000058
71,-66.58459399999998,17.999214000000052
72,-66.58415199999996,18.431884000000025
73,-155.96795299999997,19.615042000000074
74,-155.97633299999998,19.631387000000075
75,-155.98761199999998,19.809485000000052
76,-156.01293199999998,19.66746500000005
77,-156.00027299999996,19.649685000000034
78,-155.98674199999996,19.64314200000007
79,-155.99197899999996,19.645572000000072
80,-155.99363299999996,19.64633800000007
81,-155.99838399999996,19.648713000000043
82,-155.99703499999998,19.648019000000033
83,-155.97922899999998,19.637002000000052
84,-155.99238699999998,19.80583000000007
85,-156.03039833333332,19.73272166666669
86,-156.01531799999998,19.671363000000042
87,-156.03985599999996,19.73417500000005
88,-156.03914399999996,19.733487000000025
89,-155.98958899999997,19.80810500000007
90,-155.99053099999998,19.807357000000025
91,-155.92039099999997,19.520297000000028
92,-155.92913799999997,19.542746000000022
93,-155.90855799999997,19.488004000000046
94,-155.91861699999998,19.494410000000045
95,-155.95561599999996,19.588580000000036
96,-155.93094799999997,19.54431100000005
97,-155.94237799999996,19.567128000000025
98,-155.70636999999996,20.026741000000072
99,-155.72059499999997,20.026496000000066
100,-155.81293399999998,20.02272566666672
101,-155.82698699999997,20.037218000000053
102,-155.82901099999998,20.03812520000006
103,-155.83774299999996,20.048768000000052
104,-155.83154099999996,20.039660000000026
105,-155.26330199999998,20.00238500000006
106,-155.47269799999998,20.071199000000036
107,-155.59412799999998,20.043543000000057
108,-155.60207199999996,20.04175300000003
109,-155.66168599999997,20.02455100000003
110,-155.66650699999997,20.02236300000004
111,-155.668905,20.020511000000056
112,-155.66953499999997,20.02121900000003
113,-155.68138399999998,20.024733000000026
114,-155.68519399999997,20.02581900000007
115,-155.69896999999997,20.026733000000036
116,-155.66524299999998,20.02342600000003
117,-155.59723999999997,20.04262600000004
118,-155.24724599999996,19.990437000000043
119,-155.25880699999996,20.00299700000005
120,-155.24594599999998,19.98756700000007
121,-155.24808399999998,19.989101000000062
122,-66.58564899999993,18.432008000000053
123,-66.10637599999995,18.351012000000026
124,-66.60959599999995,18.433734000000072
125,-66.10630249999997,18.350008500000058
126,-67.00600599999996,18.350348000000054
127,-67.00529049999994,18.34994450000005
128,-66.9438413333333,18.035575666666716
129,-66.60903199999996,18.440428000000054
130,-66.61034599999994,18.44117700000004
131,-66.95593266666663,18.055440000000033
132,-66.58398449999996,18.034103500000043
133,-66.58533199999994,18.034678000000042
134,-66.58407999999997,18.437772000000052
135,-66.58544699999999,18.437127000000032
136,-66.68436099999997,18.349710000000073
137,-66.68522299999995,18.350906000000066
138,-66.30842899999993,18.35154600000004
139,-66.30856199999994,18.35007100000007
140,-66.09102399999995,18.35053000000005
141,-66.09160699999995,18.34916400000003
142,-66.18819799999994,18.349551000000076
143,-66.18835599999994,18.35100600000004
144,-66.46562599999999,18.350291000000027
145,-66.46571699999998,18.348828000000026
146,-66.82616299999995,18.350381000000027
147,-66.82709899999998,18.349236000000076
148,-66.84632099999993,18.334087000000068
149,-66.84762299999994,18.33337700000004
150,-66.60772699999995,18.43966400000005
151,-66.63905899999997,18.086877000000072
152,-66.64000849999996,18.088273000000044
153,-67.02597399999996,18.08813800000007
154,-67.02477499999998,18.087222000000054
155,-67.02973899999995,18.089184000000046
156,-67.03048699999994,18.087916000000064
157,-66.84719099999995,18.028275000000065
